Station,Train_MAE,Train_MSE,Test_MAE,Test_MSE
Anchieta Centro,0.26914575486752373,0.9437402359036391,0.46428448143658807,1.3544180955732208
Carapina,0.27999963280962803,0.21877349774416735,0.5760786598408025,0.9672194072585238
Cariacica,0.42749341648983635,0.4058246565518498,0.9869001811614798,2.4132375327842093
Cidade Continental,0.2495944721005459,0.5203736055104378,1.0619447619047622,5.921077035498891
Enseada do Sua,0.22761351881221656,0.3345526188760199,0.5718947779698851,0.8383837669572417
Jardim Camburi,0.13142081943301384,0.1491556650976097,0.4113616889760348,0.550330922430374
Laranjeiras,0.3927768391403351,0.6910062550794399,0.7073486472084118,2.1485128307416126
Mae-Ba,0.2645431979790032,0.5965720273195187,1.6950502246630381,10.756898390705489
Meaipe,0.2450911659161065,0.6083814498084387,0.8261830677682492,5.050970307082798
Ubu,0.2840230585842466,0.8825083672747952,0.6878843426455026,1.8827122975864614
Vila Velha-Centro,0.28822221841925766,0.1879785874450935,0.7082908417302244,1.2803708053265532
Vila Velha-IBES,0.30285940037027775,0.6489331624663012,0.49494127728254744,0.9393680901719715
Vitoria-Centro,0.17996230989634057,0.23351345182145344,0.42682193534564544,0.9384378129322042